antecedents,consequents,support,confidence,lift,pair,score,Ticker
"Volume_Volm_High, Momentum_Mom_Low",Return_DOWN,0.12209302325581395,0.9545454545454545,2.28030303030303,"(('Return_DOWN',), ('Volume_Volm_High', 'Momentum_Mom_Low'))",2.176652892561983,AAPL
"Volatility_Vol_Low, Momentum_Mom_Low",Return_DOWN,0.1511627906976744,0.896551724137931,2.1417624521072796,"(('Return_DOWN',), ('Volatility_Vol_Low', 'Momentum_Mom_Low'))",1.9202008191306645,AAPL
"Momentum_Mom_Low, Volatility_Vol_Mid",Return_DOWN,0.13372093023255813,0.8846153846153846,2.113247863247863,"(('Momentum_Mom_Low', 'Volatility_Vol_Mid'), ('Return_DOWN',))",1.8694115713346477,AAPL
"Momentum_Mom_Low, Volume_Volm_Mid",Return_DOWN,0.11627906976744186,0.9523809523809524,2.481962481962482,"(('Momentum_Mom_Low', 'Volume_Volm_Mid'), ('Return_DOWN',))",2.363773792345221,AMD
"Momentum_Mom_High, Volume_Volm_Mid","Return_UP, Volatility_Vol_High",0.12790697674418605,0.9166666666666667,1.7916666666666667,"(('Momentum_Mom_High', 'Volume_Volm_Mid'), ('Return_UP', 'Volatility_Vol_High'))",1.6423611111111114,AMD
"Momentum_Mom_Low, Volatility_Vol_High",Return_DOWN,0.25,0.7818181818181817,2.0374655647382918,"(('Momentum_Mom_Low', 'Volatility_Vol_High'), ('Return_DOWN',))",1.592927623340846,AMD
"Momentum_Mom_High, Volume_Volm_Mid",Return_UP,0.1511627906976744,1.0,1.702970297029703,"(('Momentum_Mom_High', 'Volume_Volm_Mid'), ('Return_UP',))",1.702970297029703,AMZN
"Volume_Volm_Mid, Momentum_Mom_High, Volatility_Vol_Mid",Return_UP,0.10465116279069768,1.0,1.702970297029703,"(('Return_UP',), ('Volume_Volm_Mid', 'Momentum_Mom_High', 'Volatility_Vol_Mid'))",1.702970297029703,AMZN
"Volume_Volm_Low, Momentum_Mom_Low",Return_DOWN,0.10465116279069768,0.8181818181818182,1.9820742637644047,"(('Return_DOWN',), ('Volume_Volm_Low', 'Momentum_Mom_Low'))",1.6216971248981493,AMZN
Momentum_Mom_Low,Return_DOWN,0.23255813953488372,0.9302325581395349,2.1621621621621623,"(('Momentum_Mom_Low',), ('Return_DOWN',))",2.011313639220616,BAC
"Momentum_Mom_Mid, Volume_Volm_High",Return_UP,0.18604651162790697,0.8,1.4040816326530612,"(('Momentum_Mom_Mid', 'Volume_Volm_High'), ('Return_UP',))",1.123265306122449,BAC
"Momentum_Mom_Mid, Volatility_Vol_Mid",Return_UP,0.1686046511627907,0.7435897435897436,1.305075876504448,"(('Momentum_Mom_Mid', 'Volatility_Vol_Mid'), ('Return_UP',))",0.9704410363751023,BAC
Momentum_Mom_Low,Return_DOWN,0.1744186046511628,0.9090909090909091,2.0574162679425836,"(('Momentum_Mom_Low',), ('Return_DOWN',))",1.8703784254023486,CSCO
Momentum_Mom_High,Return_UP,0.10465116279069768,1.0,1.7916666666666667,"(('Momentum_Mom_High',), ('Return_UP',))",1.7916666666666667,CSCO
"Volume_Volm_High, Momentum_Mom_Low",Return_DOWN,0.14534883720930233,0.9615384615384617,2.396878483835006,"(('Return_DOWN',), ('Volume_Volm_High', 'Momentum_Mom_Low'))",2.3046908498413523,GOOGL
