Ticker,Final_Label,Dominant_Regime,Score,Return_1D,Trend_5D,Volatility_10D,Volume_Spike,Sentiment_Final
AAPL,Stable / Low Movement,Strong Uptrend,0.84,0.0010016880133162,0.0051202359853636,0.0141725171177408,1.0042206096049142,
AMD,High Risk - Bullish,Volatile Bull,1.3,0.0023286261996077,0.0113520509359818,0.0308417617305987,1.0042795592514655,
AMZN,Stable / Low Movement,Strong Uptrend,0.93,0.0013927248692547,0.0068753333573504,0.0187236543126437,1.003542391604222,
BAC,Stable / Low Movement,Strong Uptrend,-0.09,0.0007438987198593,0.0039101872187085,0.0146260396200725,1.0035613816001572,11.83699585257343
CSCO,Stable / Low Movement,Strong Uptrend,0.19,0.0009573803693368,0.0046717032836517,0.0125285716318845,1.0059070114427522,
GOOGL,Stable / Low Movement,Strong Uptrend,1.72,0.0017910985352742,0.0089798030051412,0.017634481586558,1.0045652187957046,
INTC,High Risk - Bullish,Volatile Bull,-0.24,0.0016459605583282,0.008317166486855,0.0307979727483628,1.0086826815707606,17.627360979347305
KO,Stable / Low Movement,Sideways,-0.02,0.0004223438365174,0.0020302664212039,0.0088499059912284,1.0032957954425348,
META,Stable / Low Movement,Strong Uptrend,3.83,0.0022298977377264,0.0112231801700997,0.0209888035903592,1.003862340717946,
MSFT,Stable / Low Movement,Strong Uptrend,1.19,0.0008171373446684,0.0042585533458349,0.0139292807729949,1.005326036741527,
NFLX,Stable / Low Movement,Strong Uptrend,0.24,0.0015132879333814,0.007715740328337,0.0195082582576107,1.0067679893329295,
NKE,Stable / Low Movement,Strong Downtrend,-1.36,-0.000961961682333,-0.0046478427514774,0.0190732084141331,1.0082262430374636,
NVDA,High Risk - Bullish,Volatile Bull,1.37,0.0034317909170791,0.0173962335656146,0.0280264222008149,0.9998148896951168,53.37786464044476
TSLA,High Risk - Bullish,Volatile Bull,1.37,0.0019444840114369,0.0103324299709682,0.0341764979615154,1.0013732623721356,3.8323533359366087
XOM,Stable / Low Movement,Strong Uptrend,0.08,0.0005939604154472,0.002923234243025,0.0139741952313317,1.0032813341478253,
