Ticker,Model,Type,RMSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC_AUC
AAPL,Linear Regression,Regression,0.025,0.0191,0.0056,,,,,
AAPL,Ridge,Regression,0.025,0.0191,0.0062,,,,,
AAPL,Decision Tree,Classification,,,,0.4383,0.4038,0.2593,0.3158,0.5255
AAPL,Random Forest,Classification,,,,0.6358,0.6078,0.7654,0.6776,0.6924
AAPL,SVM,Classification,,,,0.5185,0.5101,0.9383,0.6609,0.419
AAPL,Naive Bayes,Classification,,,,0.5864,0.7059,0.2963,0.4174,0.5998
AMD,Linear Regression,Regression,0.0745,0.0508,-0.0397,,,,,
AMD,Ridge,Regression,0.0745,0.0508,-0.0391,,,,,
AMD,Decision Tree,Classification,,,,0.5617,0.6163,0.5824,0.5989,0.5573
AMD,Random Forest,Classification,,,,0.4753,0.5319,0.5495,0.5405,0.4557
AMD,SVM,Classification,,,,0.5,0.5581,0.5275,0.5424,0.4844
AMD,Naive Bayes,Classification,,,,0.5432,0.5934,0.5934,0.5934,0.5298
AMZN,Linear Regression,Regression,0.0376,0.0291,-0.0289,,,,,
AMZN,Ridge,Regression,0.0376,0.0291,-0.0283,,,,,
AMZN,Decision Tree,Classification,,,,0.4506,0.4494,0.5,0.4734,0.4457
AMZN,Random Forest,Classification,,,,0.5,0.4949,0.6125,0.5475,0.5201
AMZN,SVM,Classification,,,,0.5062,0.5,0.65,0.5652,0.4928
AMZN,Naive Bayes,Classification,,,,0.4877,0.4874,0.725,0.5829,0.5527
BAC,Linear Regression,Regression,0.0246,0.0191,-0.0356,,,,,
BAC,Ridge,Regression,0.0246,0.0191,-0.0345,,,,,
BAC,Decision Tree,Classification,,,,0.5309,0.5125,0.5256,0.519,0.5418
BAC,Random Forest,Classification,,,,0.5432,0.527,0.5,0.5132,0.5562
BAC,SVM,Classification,,,,0.5309,0.5119,0.5513,0.5309,0.5476
BAC,Naive Bayes,Classification,,,,0.5247,0.5122,0.2692,0.3529,0.516
CSCO,Linear Regression,Regression,0.0303,0.022,0.0155,,,,,
CSCO,Ridge,Regression,0.0303,0.022,0.0158,,,,,
CSCO,Decision Tree,Classification,,,,0.6605,0.7297,0.6067,0.6626,0.6759
CSCO,Random Forest,Classification,,,,0.6235,0.625,0.7865,0.6965,0.6626
CSCO,SVM,Classification,,,,0.5926,0.6162,0.6854,0.6489,0.5661
CSCO,Naive Bayes,Classification,,,,0.537,0.5814,0.5618,0.5714,0.5669
GOOGL,Linear Regression,Regression,0.0361,0.0276,-0.1117,,,,,
GOOGL,Ridge,Regression,0.036,0.0276,-0.1105,,,,,
GOOGL,Decision Tree,Classification,,,,0.5123,0.5545,0.6703,0.607,0.4841
GOOGL,Random Forest,Classification,,,,0.537,0.5702,0.7143,0.6341,0.5224
GOOGL,SVM,Classification,,,,0.4815,0.5285,0.7143,0.6075,0.4861
GOOGL,Naive Bayes,Classification,,,,0.5185,0.6182,0.3736,0.4658,0.566
INTC,Linear Regression,Regression,0.0786,0.0568,-0.1583,,,,,
INTC,Ridge,Regression,0.0785,0.0567,-0.1568,,,,,
INTC,Decision Tree,Classification,,,,0.4568,0.4944,0.5057,0.5,0.4122
INTC,Random Forest,Classification,,,,0.5741,0.7368,0.3218,0.448,0.5165
INTC,SVM,Classification,,,,0.5247,0.5962,0.3563,0.446,0.5016
INTC,Naive Bayes,Classification,,,,0.5309,0.6078,0.3563,0.4493,0.47
KO,Linear Regression,Regression,0.017,0.0133,0.0221,,,,,
KO,Ridge,Regression,0.017,0.0133,0.0218,,,,,
KO,Decision Tree,Classification,,,,0.4568,0.375,0.0349,0.0638,0.5233
KO,Random Forest,Classification,,,,0.5185,0.5952,0.2907,0.3906,0.5057
KO,SVM,Classification,,,,0.4444,0.4231,0.1279,0.1964,0.4976
KO,Naive Bayes,Classification,,,,0.4877,0.5246,0.3721,0.4354,0.5233
META,Linear Regression,Regression,0.0442,0.033,-0.1668,,,,,
META,Ridge,Regression,0.0442,0.033,-0.1655,,,,,
META,Decision Tree,Classification,,,,0.3827,0.3333,0.4925,0.3976,0.3937
META,Random Forest,Classification,,,,0.4198,0.4094,0.9104,0.5648,0.4346
META,SVM,Classification,,,,0.4321,0.4138,0.8955,0.566,0.4699
META,Naive Bayes,Classification,,,,0.3889,0.3824,0.7761,0.5123,0.5153
MSFT,Linear Regression,Regression,0.0309,0.0227,-0.026,,,,,
MSFT,Ridge,Regression,0.0309,0.0227,-0.0265,,,,,
MSFT,Decision Tree,Classification,,,,0.5802,0.5165,0.662,0.5802,0.586
MSFT,Random Forest,Classification,,,,0.4321,0.4173,0.7465,0.5354,0.5422
MSFT,SVM,Classification,,,,0.4938,0.458,0.8451,0.5941,0.4869
MSFT,Naive Bayes,Classification,,,,0.5802,0.5217,0.507,0.5143,0.5837
NFLX,Linear Regression,Regression,0.0471,0.0348,-0.1039,,,,,
NFLX,Ridge,Regression,0.0471,0.0348,-0.103,,,,,
NFLX,Decision Tree,Classification,,,,0.4383,0.4088,0.8485,0.5517,0.4762
NFLX,Random Forest,Classification,,,,0.3827,0.3672,0.7121,0.4845,0.4523
NFLX,SVM,Classification,,,,0.3519,0.3415,0.6364,0.4444,0.3834
NFLX,Naive Bayes,Classification,,,,0.4012,0.374,0.697,0.4868,0.4036
NKE,Linear Regression,Regression,0.0418,0.0308,-0.0275,,,,,
NKE,Ridge,Regression,0.0418,0.0308,-0.0276,,,,,
